,Accuracy,Shape
242,"(0.7866379310344828, 0.4406779661016949, 0.35306849883830455)","(0.1477832512315271, 3.2913198573127227, 0.14814814814814814)"
243,"(0.7887931034482759, 0.449438202247191, 0.3615805557597023)","(0.15024630541871922, 3.5434007134363865, 0.1455026455026455)"
244,"(0.7887931034482759, 0.449438202247191, 0.3615805557597023)","(0.15024630541871922, 3.5434007134363865, 0.1455026455026455)"
245,"(0.7887931034482759, 0.449438202247191, 0.3615805557597023)","(0.15024630541871922, 3.5434007134363865, 0.1455026455026455)"
246,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
247,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
248,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
249,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
250,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
251,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
252,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
253,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
254,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
255,"(0.790948275862069, 0.4581005586592179, 0.3700069854416556)","(0.15270935960591134, 3.717003567181927, 0.14285714285714285)"
256,"(0.7887931034482759, 0.45555555555555555, 0.36386276646188753)","(0.15517241379310345, 3.6741973840665865, 0.1402116402116402)"
257,"(0.7887931034482759, 0.45555555555555555, 0.36386276646188753)","(0.15517241379310345, 3.6741973840665865, 0.1402116402116402)"
258,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
259,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
260,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
261,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
262,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
263,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
264,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
265,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
266,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
267,"(0.790948275862069, 0.46408839779005523, 0.37222333429853655)","(0.15763546798029557, 3.208085612366231, 0.13756613756613756)"
