,Accuracy,Shape
89,"(0.8666666666666667, 0.30952380952380953, 0.31164636762918857)","(0.04926108374384237, 1.3388822829964329, 0.10052910052910052)"
90,"(0.8666666666666667, 0.30952380952380953, 0.31164636762918857)","(0.04926108374384237, 1.3388822829964329, 0.10052910052910052)"
91,"(0.864367816091954, 0.3058823529411765, 0.3000483639925852)","(0.05172413793103448, 1.281807372175981, 0.09788359788359788)"
92,"(0.864367816091954, 0.3058823529411765, 0.3000483639925852)","(0.05172413793103448, 1.281807372175981, 0.09788359788359788)"
93,"(0.8666666666666667, 0.32558139534883723, 0.31876314374144543)","(0.054187192118226604, 1.3531510107015456, 0.09523809523809523)"
94,"(0.8666666666666667, 0.32558139534883723, 0.31876314374144543)","(0.054187192118226604, 1.3531510107015456, 0.09523809523809523)"
95,"(0.8689655172413793, 0.3448275862068966, 0.33686805606311426)","(0.05665024630541872, 1.5529131985731273, 0.09259259259259259)"
96,"(0.8689655172413793, 0.3448275862068966, 0.33686805606311426)","(0.05665024630541872, 1.5529131985731273, 0.09259259259259259)"
97,"(0.871264367816092, 0.3488372093023256, 0.348379112884446)","(0.054187192118226604, 1.422116527942925, 0.09523809523809523)"
98,"(0.871264367816092, 0.3488372093023256, 0.348379112884446)","(0.054187192118226604, 1.422116527942925, 0.09523809523809523)"
99,"(0.871264367816092, 0.3488372093023256, 0.348379112884446)","(0.054187192118226604, 1.422116527942925, 0.09523809523809523)"
100,"(0.8689655172413793, 0.3448275862068966, 0.33686805606311426)","(0.05665024630541872, 1.5529131985731273, 0.09259259259259259)"
101,"(0.8689655172413793, 0.3448275862068966, 0.33686805606311426)","(0.05665024630541872, 1.3460166468489894, 0.09259259259259259)"
102,"(0.871264367816092, 0.36363636363636365, 0.35441835643405595)","(0.059113300492610835, 1.5362663495838291, 0.08994708994708994)"
103,"(0.871264367816092, 0.36363636363636365, 0.35441835643405595)","(0.059113300492610835, 1.5362663495838291, 0.08994708994708994)"
104,"(0.871264367816092, 0.36363636363636365, 0.35441835643405595)","(0.059113300492610835, 1.3983353151010702, 0.08994708994708994)"
105,"(0.8758620689655172, 0.4, 0.38804156780872834)","(0.06403940886699508, 1.3365041617122473, 0.08465608465608465)"
106,"(0.8735632183908046, 0.3956043956043956, 0.3772969529754935)","(0.0665024630541872, 1.2913198573127231, 0.082010582010582)"
107,"(0.8735632183908046, 0.3956043956043956, 0.3772969529754935)","(0.0665024630541872, 1.2913198573127231, 0.082010582010582)"
108,"(0.8735632183908046, 0.3956043956043956, 0.3772969529754935)","(0.0665024630541872, 1.2913198573127231, 0.082010582010582)"
109,"(0.8735632183908046, 0.3956043956043956, 0.3772969529754935)","(0.0665024630541872, 1.2913198573127231, 0.082010582010582)"
110,"(0.8735632183908046, 0.3956043956043956, 0.3772969529754935)","(0.0665024630541872, 1.2913198573127231, 0.082010582010582)"
111,"(0.8735632183908046, 0.3956043956043956, 0.3772969529754935)","(0.0665024630541872, 1.2913198573127231, 0.082010582010582)"
112,"(0.8758620689655172, 0.41304347826086957, 0.39350698424537034)","(0.06896551724137931, 1.4435196195005942, 0.07936507936507936)"
113,"(0.8758620689655172, 0.41304347826086957, 0.39350698424537034)","(0.06896551724137931, 1.4435196195005942, 0.07936507936507936)"
114,"(0.8781609195402299, 0.43010752688172044, 0.40932761342198987)","(0.07142857142857142, 1.6551724137931034, 0.07671957671957672)"
115,"(0.8758620689655172, 0.425531914893617, 0.399176175701005)","(0.07389162561576355, 1.8573127229488704, 0.11243386243386243)"
116,"(0.8758620689655172, 0.425531914893617, 0.399176175701005)","(0.07389162561576355, 1.8573127229488704, 0.11243386243386243)"
117,"(0.8735632183908046, 0.42105263157894735, 0.38945942309310916)","(0.07635467980295567, 1.9809750297265158, 0.10978835978835978)"
118,"(0.8735632183908046, 0.42105263157894735, 0.38945942309310916)","(0.07635467980295567, 1.9809750297265158, 0.10978835978835978)"
119,"(0.8735632183908046, 0.42105263157894735, 0.38945942309310916)","(0.07635467980295567, 1.9809750297265158, 0.10978835978835978)"
120,"(0.8758620689655172, 0.4375, 0.405002756167662)","(0.07881773399014778, 1.9571938168846612, 0.10714285714285714)"
121,"(0.8758620689655172, 0.4375, 0.405002756167662)","(0.07881773399014778, 1.9571938168846612, 0.10714285714285714)"
122,"(0.8758620689655172, 0.4375, 0.405002756167662)","(0.07881773399014778, 1.9571938168846612, 0.10714285714285714)"
123,"(0.8758620689655172, 0.4375, 0.405002756167662)","(0.07881773399014778, 1.9571938168846612, 0.10714285714285714)"
124,"(0.8758620689655172, 0.4375, 0.405002756167662)","(0.07881773399014778, 1.9571938168846612, 0.10714285714285714)"
125,"(0.8781609195402299, 0.4536082474226804, 0.42021876372873823)","(0.0812807881773399, 1.992865636147443, 0.10449735449735449)"
126,"(0.8781609195402299, 0.4536082474226804, 0.42021876372873823)","(0.0812807881773399, 1.992865636147443, 0.10449735449735449)"
127,"(0.8781609195402299, 0.4536082474226804, 0.42021876372873823)","(0.0812807881773399, 1.992865636147443, 0.10449735449735449)"
128,"(0.8804597701149425, 0.46938775510204084, 0.4351286771757745)","(0.08374384236453201, 1.9500594530321047, 0.10185185185185185)"
129,"(0.8827586206896552, 0.48484848484848486, 0.4497517819677142)","(0.08620689655172414, 1.9667063020214028, 0.0992063492063492)"
130,"(0.8827586206896552, 0.48484848484848486, 0.4497517819677142)","(0.08620689655172414, 1.9667063020214028, 0.0992063492063492)"
131,"(0.8827586206896552, 0.48484848484848486, 0.4497517819677142)","(0.08620689655172414, 1.9667063020214028, 0.0992063492063492)"
132,"(0.8850574712643678, 0.5, 0.4641056495131735)","(0.08866995073891626, 2.1117717003567176, 0.09656084656084656)"
133,"(0.8850574712643678, 0.5, 0.4641056495131735)","(0.08866995073891626, 2.1117717003567176, 0.09656084656084656)"
134,"(0.8850574712643678, 0.5, 0.4641056495131735)","(0.08866995073891626, 2.1117717003567176, 0.09656084656084656)"
135,"(0.8850574712643678, 0.5, 0.4641056495131735)","(0.08866995073891626, 2.1117717003567176, 0.09656084656084656)"
136,"(0.8850574712643678, 0.5, 0.4641056495131735)","(0.08866995073891626, 2.1117717003567176, 0.09656084656084656)"
137,"(0.8850574712643678, 0.5, 0.4641056495131735)","(0.08866995073891626, 2.1117717003567176, 0.09656084656084656)"
138,"(0.8850574712643678, 0.5, 0.4641056495131735)","(0.08866995073891626, 2.1117717003567176, 0.09656084656084656)"
139,"(0.8850574712643678, 0.5, 0.4641056495131735)","(0.08866995073891626, 2.1117717003567176, 0.09656084656084656)"
140,"(0.8850574712643678, 0.5098039215686274, 0.46908456960866085)","(0.09359605911330049, 2.2354340071343635, 0.09126984126984126)"
141,"(0.8850574712643678, 0.5098039215686274, 0.46908456960866085)","(0.09359605911330049, 2.2354340071343635, 0.09126984126984126)"
142,"(0.8850574712643678, 0.5098039215686274, 0.46908456960866085)","(0.09359605911330049, 2.2354340071343635, 0.09126984126984126)"
143,"(0.8850574712643678, 0.5098039215686274, 0.46908456960866085)","(0.09359605911330049, 2.2354340071343635, 0.09126984126984126)"
144,"(0.8873563218390804, 0.5242718446601942, 0.4829897799286919)","(0.0960591133004926, 2.351961950059453, 0.08862433862433862)"
145,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
146,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
147,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
148,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
149,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
150,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
151,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
152,"(0.8850574712643678, 0.5192307692307693, 0.4742132400901903)","(0.09852216748768473, 2.458977407847801, 0.08597883597883597)"
