,Accuracy,Shape
1773,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1774,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1775,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1776,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1777,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1778,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1779,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1780,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1781,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1782,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1783,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1784,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1785,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1786,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1787,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1788,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1789,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1790,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1791,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1792,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1793,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1794,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1795,"(0.6875, 0.4444444444444444, 0.23267875140119362)","(0.35467980295566504, 16.478002378121285, 0.46296296296296297)"
1796,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
1797,"(0.6853448275862069, 0.44274809160305345, 0.22953827154896314)","(0.35714285714285715, 17.24137931034483, 0.49867724867724866)"
