,Accuracy,Shape
640,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
641,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
642,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
643,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
644,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
645,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
646,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
647,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
648,"(0.7866379310344828, 0.48704663212435234, 0.37329116320239847)","(0.18719211822660098, 5.424494649227109, 0.2208994708994709)"
649,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
650,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
651,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
652,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
653,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
654,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
655,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
656,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
657,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
658,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
659,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
660,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
661,"(0.7844827586206896, 0.4791666666666667, 0.3652057659094774)","(0.18472906403940886, 5.384066587395956, 0.22354497354497355)"
662,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
663,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
664,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
665,"(0.7823275862068966, 0.4712041884816754, 0.35705609236243546)","(0.18226600985221675, 5.403091557669442, 0.2261904761904762)"
666,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
667,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
668,"(0.7823275862068966, 0.47668393782383417, 0.3598808891449571)","(0.18719211822660098, 5.7003567181926265, 0.2208994708994709)"
669,"(0.7823275862068966, 0.47668393782383417, 0.3598808891449571)","(0.18719211822660098, 5.7003567181926265, 0.2208994708994709)"
670,"(0.7823275862068966, 0.47668393782383417, 0.3598808891449571)","(0.18719211822660098, 5.7003567181926265, 0.2208994708994709)"
671,"(0.7801724137931034, 0.46875, 0.3517237486143865)","(0.18472906403940886, 5.728894173602854, 0.22354497354497355)"
