,Accuracy,Shape
427,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
428,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
429,"(0.7823275862068966, 0.45989304812834225, 0.3515008470124562)","(0.1724137931034483, 5.866825208085612, 0.1984126984126984)"
430,"(0.7801724137931034, 0.4574468085106383, 0.3459842865644994)","(0.1748768472906404, 6.092746730083235, 0.19576719576719576)"
431,"(0.7801724137931034, 0.4574468085106383, 0.3459842865644994)","(0.1748768472906404, 6.092746730083235, 0.19576719576719576)"
432,"(0.7801724137931034, 0.4574468085106383, 0.3459842865644994)","(0.1748768472906404, 6.092746730083235, 0.19576719576719576)"
433,"(0.7801724137931034, 0.4574468085106383, 0.3459842865644994)","(0.1748768472906404, 6.092746730083235, 0.19576719576719576)"
434,"(0.7801724137931034, 0.4574468085106383, 0.3459842865644994)","(0.1748768472906404, 6.092746730083235, 0.19576719576719576)"
435,"(0.7801724137931034, 0.4574468085106383, 0.3459842865644994)","(0.1748768472906404, 6.092746730083235, 0.19576719576719576)"
436,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
437,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
438,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
439,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
440,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
441,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
442,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
443,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
444,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
445,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
446,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
447,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
448,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
449,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
450,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
451,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
452,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
453,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
454,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
455,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
456,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
457,"(0.7780172413793104, 0.455026455026455, 0.34055480934869287)","(0.17733990147783252, 5.8263971462544575, 0.1931216931216931)"
