,Accuracy,Shape
1833,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1834,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1835,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1836,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1837,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1838,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1839,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1840,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1841,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1842,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1843,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1844,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1845,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1846,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1847,"(0.709051724137931, 0.47876447876447875, 0.28209114635267546)","(0.3497536945812808, 16.095124851367423, 0.3531746031746032)"
1848,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.118906064209273, 0.3505291005291005)"
1849,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1850,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1851,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1852,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1853,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1854,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1855,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.80856123662306, 0.3505291005291005)"
1856,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.80856123662306, 0.3505291005291005)"
1857,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.80856123662306, 0.3505291005291005)"
1858,"(0.7068965517241379, 0.47692307692307695, 0.2788303586257761)","(0.3522167487684729, 16.80856123662306, 0.3505291005291005)"
1859,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1860,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1861,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1862,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1863,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1864,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1865,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1866,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1867,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1868,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1869,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1870,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1871,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1872,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1873,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1874,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1875,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1876,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1877,"(0.7047413793103449, 0.47509578544061304, 0.27558930014926747)","(0.35467980295566504, 16.546967895362663, 0.3478835978835979)"
1878,"(0.7025862068965517, 0.4732824427480916, 0.27236757003040235)","(0.35714285714285715, 17.103448275862068, 0.3835978835978836)"
